trainerID,pokename
1,299
2,299
3,398
3,59
4,427
4,425
5,427
5,425
6,394
6,399
7,40
7,52
8,92
8,58
8,2
9,45
9,46
10,40
10,67
11,150
12,72
12,52
13,2
13,11
13,6
13,9
14,140
14,124
14,80
15,61
15,118
15,152
16,133
16,95
16,13
17,91
17,92
17,93
18,2
18,6
18,11
19,6
20,105
21,105
22,105
23,112
23,251
23,138
24,40
25,156
25,156
25,156
26,137
26,161
26,52
27,156
27,157
28,16
28,237
29,199
30,82
31,157
32,93
32,133
32,183
33,93
33,133
33,183
34,93
34,133
34,183
35,180
35,181
35,182
35,183
36,158
36,159
37,61
37,74
38,160
38,161
39,34
39,13
40,123
40,124
41,238
41,11
41,11
42,150
42,6
42,11
43,243
43,52
44,198
44,199
45,1
45,2
45,4
46,199
47,5
47,1
47,10
48,198
48,198
48,198
49,2
49,161
50,161
50,161
50,43
51,161
51,161
51,43
52,161
52,161
52,43
53,24
53,166
54,183
54,153
54,173
55,386
55,122
56,58
56,239
57,414
58,348
58,399
58,391
59,348
59,399
59,391
60,349
60,399
60,391
61,349
61,399
61,391
62,349
62,401
62,391
63,376
63,374
64,347
64,406
64,397
64,112
64,345
65,410
66,378
66,386
67,334
68,391
69,429
70,414
71,40
71,52
72,376
72,161
73,334
74,372
75,370
75,383
75,342
76,434
76,150
76,95
77,334
78,372
79,345
79,99
79,365
80,116
80,378
80,85
81,423
82,374
82,383
82,396
83,347
83,85
83,386
83,345
84,99
84,281
84,342
85,376
85,391
85,349
86,384
86,397
86,367
87,384
87,397
87,367
88,386
88,397
88,367
89,386
89,397
89,367
90,386
90,397
90,368
91,434
92,112
92,122
93,58
93,239
94,54
95,386
95,334
96,359
97,347
97,406
97,397
97,112
97,345
98,348
98,399
98,391
99,348
99,399
99,391
100,349
100,399
100,391
101,349
101,399
101,391
102,349
102,401
102,391
103,386
103,347
103,386
104,290
104,374
105,365
105,359
106,365
106,359
107,405
107,365
107,359
108,405
108,365
108,359
109,405
109,366
109,360
110,349
110,401
111,423
111,225
112,410
112,349
113,383
113,423
114,358
115,434
116,374
116,443
117,391
118,443
119,374
120,414
121,434
121,365
122,40
122,52
122,440
123,353
123,360
124,378
124,386
125,386
126,376
126,161
127,386
127,345
128,386
129,372
130,402
130,383
130,342
131,416
131,417
132,434
132,99
132,398
133,405
134,360
134,439
135,347
136,345
136,370
137,347
137,376
137,85
138,423
139,374
139,383
139,396
140,116
140,85
140,137
140,345
141,99
141,342
142,376
142,391
142,349
143,384
143,397
143,367
144,384
144,397
144,367
145,386
145,397
145,367
146,386
146,397
146,367
147,386
147,397
147,368
148,299
149,299
150,398
150,59
151,427
151,425
152,427
152,425
153,394
153,399
154,40
154,52
155,299
156,299
157,398
157,59
158,427
158,425
159,427
159,425
160,394
160,399
161,40
161,52
162,92
162,58
162,2
163,45
163,46
164,40
164,67
165,150
166,72
166,52
167,2
167,11
167,6
167,9
168,140
168,124
168,80
169,61
169,118
169,152
170,133
170,95
170,13
171,91
171,92
171,93
172,2
172,6
172,11
173,6
174,105
175,105
176,105
177,112
177,251
177,138
178,40
179,156
179,156
179,156
180,137
180,161
180,52
181,156
181,157
182,16
182,237
183,199
184,82
185,157
186,93
186,133
186,183
187,93
187,133
187,183
188,93
188,133
188,183
189,180
189,181
189,182
189,183
190,158
190,159
191,61
191,74
192,160
192,161
193,34
193,13
194,123
194,124
195,238
195,11
195,11
196,150
196,6
196,11
197,243
197,52
198,198
198,199
199,1
199,2
199,4
200,199
201,5
201,1
201,10
202,198
202,198
202,198
203,2
203,161
204,161
204,161
204,43
205,161
205,161
205,43
206,161
206,161
206,43
207,24
207,166
208,183
208,153
208,173
209,386
209,122
210,58
210,239
211,414
212,348
212,399
212,391
213,348
213,399
213,391
214,349
214,399
214,391
215,349
215,399
215,391
216,349
216,401
216,391
217,376
217,374
218,347
218,406
218,397
218,112
218,345
219,410
220,378
220,386
221,334
222,391
223,429
224,414
225,40
225,52
226,376
226,161
227,334
228,372
229,370
229,383
229,342
230,434
230,150
230,95
231,334
232,372
233,345
233,99
233,365
234,116
234,378
234,85
235,423
236,374
236,383
236,396
237,347
237,85
237,386
237,345
238,99
238,281
238,342
239,376
239,391
239,349
240,384
240,397
240,367
241,384
241,397
241,367
242,386
242,397
242,367
243,386
243,397
243,367
244,386
244,397
244,368
245,434
246,112
246,122
247,58
247,239
248,54
249,386
249,334
250,359
251,347
251,406
251,397
251,112
251,345
252,348
252,399
252,391
253,348
253,399
253,391
254,349
254,399
254,391
255,349
255,399
255,391
256,349
256,401
256,391
257,386
257,347
257,386
258,290
258,374
259,365
259,359
260,365
260,359
261,405
261,365
261,359
262,405
262,365
262,359
263,405
263,366
263,360
264,349
264,401
265,423
265,225
266,410
266,349
267,383
267,423
268,358
269,434
270,374
270,443
271,391
272,443
273,374
274,414
275,434
275,365
276,40
276,52
276,440
277,353
277,360
278,378
278,386
279,386
280,376
280,161
281,386
281,345
282,386
283,372
284,402
284,383
284,342
285,416
285,417
286,434
286,99
286,398
287,405
288,360
288,439
289,347
290,345
290,370
291,347
291,376
291,85
292,423
293,374
293,383
293,396
294,116
294,85
294,137
294,345
295,99
295,342
296,376
296,391
296,349
297,384
297,397
297,367
298,384
298,397
298,367
299,386
299,397
299,367
300,386
300,397
300,367
301,386
301,397
301,368
302,299
303,299
304,398
304,59
305,427
305,425
306,427
306,425
307,394
307,399
308,40
308,52
309,92
309,58
309,2
310,45
310,46
311,40
311,67
312,150
313,72
313,52
314,2
314,11
314,6
314,9
315,140
315,124
315,80
316,61
316,118
316,152
317,133
317,95
317,13
318,91
318,92
318,93
319,2
319,6
319,11
320,6
321,105
322,105
323,105
324,112
324,251
324,138
325,40
326,156
326,156
326,156
327,137
327,161
327,52
328,156
328,157
329,16
329,237
330,199
331,82
332,157
333,93
333,133
333,183
334,93
334,133
334,183
335,93
335,133
335,183
336,180
336,181
336,182
336,183
337,158
337,159
338,61
338,74
339,160
339,161
340,34
340,13
341,123
341,124
342,238
342,11
342,11
343,150
343,6
343,11
344,243
344,52
345,198
345,199
346,1
346,2
346,4
347,199
348,5
348,1
348,10
349,198
349,198
349,198
350,2
350,161
351,161
351,161
351,43
352,161
352,161
352,43
353,161
353,161
353,43
354,24
354,166
355,183
355,153
355,173
356,386
356,122
357,58
357,239
358,414
359,348
359,399
359,391
360,348
360,399
360,391
361,349
361,399
361,391
362,349
362,399
362,391
363,349
363,401
363,391
364,376
364,374
365,347
365,406
365,397
365,112
365,345
366,410
367,378
367,386
368,334
369,391
370,429
371,414
372,40
372,52
373,376
373,161
374,334
375,372
376,370
376,383
376,342
377,434
377,150
377,95
378,334
379,372
380,345
380,99
380,365
381,116
381,378
381,85
382,423
383,374
383,383
383,396
384,347
384,85
384,386
384,345
385,99
385,281
385,342
386,376
386,391
386,349
387,384
387,397
387,367
388,384
388,397
388,367
389,386
389,397
389,367
390,386
390,397
390,367
391,386
391,397
391,368
392,434
393,112
393,122
394,58
394,239
395,54
396,386
396,334
397,359
398,347
398,406
398,397
398,112
398,345
399,348
399,399
399,391
400,348
400,399
400,391
401,349
401,399
401,391
402,349
402,399
402,391
403,349
403,401
403,391
404,386
404,347
404,386
405,290
405,374
406,365
406,359
407,365
407,359
408,405
408,365
408,359
409,405
409,365
409,359
410,405
410,366
410,360
411,349
411,401
412,423
412,225
413,410
413,349
414,383
414,423
415,358
416,434
417,374
417,443
418,391
419,443
420,374
421,414
422,434
422,365
423,40
423,52
423,440
424,353
424,360
425,378
425,386
426,386
427,376
427,161
428,386
428,345
429,386
430,372
431,402
431,383
431,342
432,416
432,417
433,434
433,99
433,398
434,405
435,360
435,439
436,347
437,345
437,370
438,347
438,376
438,85
439,423
440,374
440,383
440,396
441,116
441,85
441,137
441,345
442,99
442,342
443,376
443,391
443,349
444,384
444,397
444,367
445,384
445,397
445,367
446,386
446,397
446,367
447,386
447,397
447,367
448,386
448,397
448,368
449,299
450,299
451,398
451,59
452,427
452,425
453,427
453,425
454,394
454,399
455,40
455,52
456,92
456,58
456,2
457,45
457,46
458,40
458,67
459,150
460,72
460,52
461,2
461,11
461,6
461,9
462,140
462,124
462,80
463,61
463,118
463,152
464,133
464,95
464,13
465,91
465,92
465,93
466,2
466,6
466,11
467,6
468,105
469,105
470,105
471,112
471,251
471,138
472,40
473,156
473,156
473,156
474,137
474,161
474,52
475,156
475,157
476,16
476,237
477,199
478,82
479,157
480,93
480,133
480,183
481,93
481,133
481,183
482,93
482,133
482,183
483,180
483,181
483,182
483,183
484,158
484,159
485,61
485,74
486,160
486,161
487,34
487,13
488,123
488,124
489,238
489,11
489,11
490,150
490,6
490,11
491,243
491,52
492,198
492,199
493,1
493,2
493,4
494,199
495,5
495,1
495,10
496,198
496,198
496,198
497,2
497,161
498,161
498,161
498,43
499,161
499,161
499,43
500,161
500,161
500,43
501,24
501,166
502,183
502,153
502,173
503,386
503,122
504,58
504,239
505,414
506,348
506,399
506,391
507,348
507,399
507,391
508,349
508,399
508,391
509,349
509,399
509,391
510,349
510,401
510,391
511,376
511,374
512,347
512,406
512,397
512,112
512,345
513,410
514,378
514,386
515,334
516,391
517,429
518,414
519,40
519,52
520,376
520,161
521,334
522,372
523,370
523,383
523,342
524,434
524,150
524,95
525,334
526,372
527,345
527,99
527,365
528,116
528,378
528,85
529,423
530,374
530,383
530,396
531,347
531,85
531,386
531,345
532,99
532,281
532,342
533,376
533,391
533,349
534,384
534,397
534,367
535,384
535,397
535,367
536,386
536,397
536,367
537,386
537,397
537,367
538,386
538,397
538,368
539,434
540,112
540,122
541,58
541,239
542,54
543,386
543,334
544,359
545,347
545,406
545,397
545,112
545,345
546,348
546,399
546,391
547,348
547,399
547,391
548,349
548,399
548,391
549,349
549,399
549,391
550,349
550,401
550,391
551,386
551,347
551,386
552,290
552,374
553,365
553,359
554,365
554,359
555,405
555,365
555,359
556,405
556,365
556,359
557,405
557,366
557,360
558,349
558,401
559,423
559,225
560,410
560,349
561,383
561,423
562,358
563,434
564,374
564,443
565,391
566,443
567,374
568,414
569,434
569,365
570,40
570,52
570,440
571,353
571,360
572,378
572,386
573,386
574,376
574,161
575,386
575,345
576,386
577,372
578,402
578,383
578,342
579,416
579,417
580,434
580,99
580,398
581,405
582,360
582,439
583,347
584,345
584,370
585,347
585,376
585,85
586,423
587,374
587,383
587,396
588,116
588,85
588,137
588,345
589,99
589,342
590,376
590,391
590,349
591,384
591,397
591,367
592,384
592,397
592,367
593,386
593,397
593,367
594,386
594,397
594,367
595,386
595,397
595,368
596,299
597,299
598,398
598,59
599,427
599,425
600,427
600,425
601,394
601,399
602,40
602,52
603,92
603,58
603,2
604,45
604,46
605,40
605,67
606,150
607,72
607,52
608,2
608,11
608,6
608,9
609,140
609,124
609,80
610,61
610,118
610,152
611,133
611,95
611,13
612,91
612,92
612,93
613,2
613,6
613,11
614,6
615,105
616,105
617,105
618,112
618,251
618,138
619,40
620,156
620,156
620,156
621,137
621,161
621,52
622,156
622,157
623,16
623,237
624,199
625,82
626,157
627,93
627,133
627,183
628,93
628,133
628,183
629,93
629,133
629,183
630,180
630,181
630,182
630,183
631,158
631,159
632,61
632,74
633,160
633,161
634,34
634,13
635,123
635,124
636,238
636,11
636,11
637,150
637,6
637,11
638,243
638,52
639,198
639,199
640,1
640,2
640,4
641,199
642,5
642,1
642,10
643,198
643,198
643,198
644,2
644,161
645,161
645,161
645,43
646,161
646,161
646,43
647,161
647,161
647,43
648,24
648,166
649,183
649,153
649,173
650,386
650,122
651,58
651,239
652,414
653,348
653,399
653,391
654,348
654,399
654,391
655,349
655,399
655,391
656,349
656,399
656,391
657,349
657,401
657,391
658,376
658,374
659,347
659,406
659,397
659,112
659,345
660,410
661,378
661,386
662,334
663,391
664,429
665,414
666,40
666,52
667,376
667,161
668,334
669,372
670,370
670,383
670,342
671,434
671,150
671,95
672,334
673,372
674,345
674,99
674,365
675,116
675,378
675,85
676,423
677,374
677,383
677,396
678,347
678,85
678,386
678,345
679,99
679,281
679,342
680,376
680,391
680,349
681,384
681,397
681,367
682,384
682,397
682,367
683,386
683,397
683,367
684,386
684,397
684,367
685,386
685,397
685,368
686,434
687,112
687,122
688,58
688,239
689,54
690,386
690,334
691,359
692,347
692,406
692,397
692,112
